City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Margate,GB,51.3813,1.3862,49.96,70,100,3.0,overcast clouds
80,Albany,US,42.6001,-73.9662,30.61,62,100,2.28,overcast clouds
81,Chokurdakh,RU,70.6333,147.9167,-30.48,94,30,5.95,scattered clouds
82,Khoy,IR,38.5504,44.9535,20.08,88,12,5.1,few clouds
83,Provideniya,RU,64.3833,-173.3,-2.16,98,32,2.91,scattered clouds
84,Carnarvon,AU,-24.8667,113.6333,75.27,83,0,5.75,clear sky
85,Bouar,CF,5.934,15.596,88.54,13,17,9.78,few clouds
86,Cidreira,BR,-30.1811,-50.2056,73.96,58,88,12.19,overcast clouds
87,Saint George,US,37.1041,-113.5841,39.67,51,0,0.0,clear sky
88,Khatanga,RU,71.9667,102.5,1.44,86,100,6.6,overcast clouds
89,Abha,SA,18.2164,42.5053,60.62,67,20,10.36,few clouds
90,Williams Lake,CA,52.1415,-122.1445,26.17,63,75,10.36,broken clouds
91,Kyabe,TD,9.4515,18.9449,93.79,11,6,7.74,clear sky
92,Georgetown,MY,5.4112,100.3354,83.95,81,20,2.3,few clouds
93,Kodiak,US,57.79,-152.4072,29.71,86,100,13.8,light snow
94,Richards Bay,ZA,-28.783,32.0377,80.89,81,66,15.61,light rain
95,Nichinan,JP,31.6,131.3667,44.76,70,78,5.59,broken clouds
96,Norman Wells,CA,65.282,-126.8329,-3.96,77,100,9.22,light snow
97,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,0,12.66,clear sky
98,Dong Hoi,VN,17.4833,106.6,70.66,94,67,6.93,broken clouds
99,Shingu,JP,33.7333,135.9833,39.81,82,70,6.33,broken clouds
100,Bonthe,SL,7.5264,-12.505,87.37,56,47,14.85,scattered clouds
101,Multan,PK,30.1956,71.4753,60.69,63,2,0.0,smoke
102,Qaanaaq,GL,77.484,-69.3632,-7.89,68,93,8.93,overcast clouds
103,Clyde River,CA,70.4692,-68.5914,-14.57,84,100,20.71,light snow
104,Bluff,NZ,-46.6,168.3333,49.8,79,85,3.85,overcast clouds
105,Turan,VN,16.0678,108.2208,75.25,83,40,3.44,scattered clouds
106,Polican,AL,40.6122,20.0981,44.08,79,40,2.93,scattered clouds
107,Keetmanshoop,NA,-26.5833,18.1333,89.51,27,63,9.35,broken clouds
108,Port Elizabeth,ZA,-33.918,25.5701,76.1,68,75,18.41,broken clouds
109,Beya,RU,53.0533,90.9139,-2.56,95,43,4.12,scattered clouds
110,Talnakh,RU,69.4865,88.3972,4.21,83,100,14.7,overcast clouds
111,Tongling,CN,30.95,117.7833,34.07,100,100,6.82,snow
112,San Borja,BO,-14.8167,-66.85,70.61,99,100,4.9,light rain
113,Kathmandu,NP,27.7167,85.3167,44.82,87,20,4.61,few clouds
114,Chuy,UY,-33.6971,-53.4616,72.9,53,45,9.62,scattered clouds
115,Muros,ES,42.7762,-9.0603,64.09,35,0,4.34,clear sky
116,Zyryanka,RU,65.75,150.85,-16.33,95,100,7.36,overcast clouds
117,Cabo San Lucas,MX,22.8909,-109.9124,67.51,66,40,3.44,scattered clouds
118,Port Lincoln,AU,-34.7333,135.8667,65.93,85,13,16.62,few clouds
119,Palmerston,AU,-12.486,130.9833,80.58,94,100,4.61,light intensity shower rain
120,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.07,88,97,3.06,overcast clouds
121,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,83.25,57,92,3.36,overcast clouds
122,Vaini,TO,-21.2,-175.2,82.18,80,95,20.31,overcast clouds
123,Palana,RU,59.1167,159.9667,27.41,78,99,23.4,overcast clouds
124,Salalah,OM,17.0151,54.0924,75.29,69,0,5.75,clear sky
125,Caravelas,BR,-17.7125,-39.2481,87.13,55,30,9.04,scattered clouds
126,Jand,PK,33.4299,72.0193,52.0,35,0,0.67,clear sky
127,Kapaa,US,22.0752,-159.319,64.38,100,0,5.75,clear sky
128,Saskylakh,RU,71.9167,114.0833,-1.7,89,100,7.0,overcast clouds
129,Ca Mau,VN,9.1769,105.15,75.27,81,48,3.96,scattered clouds
130,Leon,MX,21.1167,-101.6667,57.25,44,3,2.33,clear sky
131,College,US,64.8569,-147.8028,6.75,67,100,12.66,light snow
132,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,77,20,12.01,few clouds
133,Yar-Sale,RU,66.8333,70.8333,-12.08,100,84,3.8,broken clouds
134,New Norfolk,AU,-42.7826,147.0587,63.75,71,98,1.32,overcast clouds
135,Rognan,NO,67.0953,15.3878,32.14,82,100,2.57,snow
136,Thinadhoo,MV,0.5333,72.9333,81.05,59,22,7.29,few clouds
137,Mahebourg,MU,-20.4081,57.7,80.89,74,75,4.61,broken clouds
138,Loandjili,CG,-4.7561,11.8578,82.62,67,91,11.21,overcast clouds
139,Kavieng,PG,-2.5744,150.7967,82.51,76,36,9.15,light rain
140,Nabire,ID,-3.3667,135.4833,77.43,90,100,2.33,overcast clouds
141,Ancud,CL,-41.8697,-73.8203,67.53,66,0,7.27,clear sky
142,Ingleside,US,27.8778,-97.2117,50.23,91,100,1.99,drizzle
143,Bucerias,MX,20.75,-105.3333,67.98,88,75,4.61,broken clouds
144,Tucumcari,US,35.1717,-103.725,25.95,86,0,5.75,clear sky
145,Pundaguitan,PH,6.3711,126.1689,81.1,79,98,10.63,overcast clouds
146,Cap Malheureux,MU,-19.9842,57.6142,81.09,67,0,5.99,clear sky
147,Yaring,TH,6.8662,101.3689,77.34,82,26,8.08,scattered clouds
148,Coruripe,BR,-10.1256,-36.1756,87.42,56,100,13.15,overcast clouds
149,Cockburn Town,TC,21.4612,-71.1419,77.85,70,17,8.52,few clouds
150,Kayerkan,RU,69.3497,87.7602,3.52,84,100,18.77,overcast clouds
151,Mar Del Plata,AR,-38.0023,-57.5575,73.42,59,0,3.0,clear sky
152,Berbera,SO,10.4396,45.0143,76.98,61,64,7.47,broken clouds
153,Komsomolskiy,UZ,40.4272,71.7189,35.02,51,99,4.61,overcast clouds
154,Ziro,IN,27.6333,93.8333,31.64,92,6,1.95,clear sky
155,Pisco,PE,-13.7,-76.2167,70.02,83,0,11.5,clear sky
156,Basco,PH,20.4487,121.9702,78.53,85,100,22.91,overcast clouds
157,Jacareacanga,BR,-6.2222,-57.7528,75.04,95,100,1.99,light rain
158,Sorland,NO,67.667,12.6934,30.27,51,20,3.44,few clouds
159,Hofn,IS,64.2539,-15.2082,37.42,44,20,11.5,few clouds
160,Maceio,BR,-9.6658,-35.7353,90.84,55,75,6.91,light rain
161,Mokrous,RU,51.2333,47.5167,12.42,99,96,1.95,light snow
162,Kirensk,RU,57.7853,108.1119,-16.62,100,89,1.05,overcast clouds
163,Glace Bay,CA,46.1969,-59.957,28.98,80,100,4.0,overcast clouds
164,Nikolskoye,RU,59.7035,30.7861,28.4,97,100,5.68,snow
165,Sitka,US,57.0531,-135.33,44.49,76,100,19.57,light rain
166,Saint Anthony,US,45.0205,-93.218,0.82,78,0,0.0,clear sky
167,Koumra,TD,8.9126,17.5539,94.95,10,6,6.87,clear sky
168,Yurimaguas,PE,-5.9,-76.0833,84.36,74,40,3.44,scattered clouds
169,Kijang,KR,35.2442,129.2139,35.33,27,100,5.95,overcast clouds
170,Saldanha,ZA,-33.0117,17.9442,77.05,71,0,26.22,clear sky
171,Prince Rupert,CA,54.3161,-130.3201,44.69,76,100,16.11,overcast clouds
172,Geraldton,AU,-28.7667,114.6,75.61,78,16,14.97,few clouds
173,Mackenzie,CA,55.2999,-123.1698,23.22,74,75,5.75,broken clouds
174,Vao,NC,-22.6667,167.4833,78.98,84,100,21.77,overcast clouds
175,Labuan,MY,5.2767,115.2417,77.16,100,20,0.0,few clouds
176,Nambour,AU,-26.6333,152.95,76.87,93,46,1.99,scattered clouds
177,Dukat,RU,62.55,155.55,-5.37,99,100,6.15,overcast clouds
178,Marfino,RU,55.7028,37.3822,21.45,85,75,8.95,snow
179,Sarangani,PH,5.4033,125.4636,81.93,77,77,16.42,broken clouds
180,Katsina,NG,12.9894,7.6006,82.18,13,13,17.02,few clouds
181,Manicore,BR,-5.8092,-61.3003,74.28,97,100,2.39,overcast clouds
182,Hambantota,LK,6.1241,81.1185,78.58,82,38,10.92,scattered clouds
183,Mayo,US,38.8876,-76.5119,38.95,68,100,3.0,overcast clouds
184,Zhicheng,CN,30.2956,111.5047,32.58,95,70,2.84,broken clouds
185,Veshenskaya,RU,49.6303,41.7334,14.38,95,90,8.16,overcast clouds
186,Shirvan,AZ,39.9509,48.8994,40.35,73,39,10.45,scattered clouds
187,Gobabis,NA,-22.45,18.9667,90.34,23,77,17.18,broken clouds
188,Albanel,CA,48.8832,-72.4487,-9.26,64,9,9.22,clear sky
189,Bay Roberts,CA,47.5999,-53.2648,26.15,75,98,4.0,overcast clouds
190,Narsaq,GL,60.9167,-46.05,10.62,67,77,8.68,broken clouds
191,Oksovskiy,RU,62.6062,39.8984,17.67,95,100,5.73,overcast clouds
192,Kabare,CD,-2.4683,28.8242,71.73,75,40,3.13,light rain
193,Ayan,RU,56.45,138.1667,-11.78,78,14,11.1,few clouds
194,Santa Cruz,BO,-17.8,-63.1667,80.06,69,75,17.27,broken clouds
195,Chakulia,IN,22.4833,86.7167,61.79,43,12,5.01,few clouds
196,Kogon,UZ,39.7228,64.5517,46.44,66,100,18.41,overcast clouds
197,Bend,US,44.0582,-121.3153,34.61,84,0,1.01,clear sky
198,Tabou,CI,4.423,-7.3528,85.75,59,47,9.53,scattered clouds
199,Evensk,RU,61.95,159.2333,18.48,83,100,29.59,light snow
200,Aklavik,CA,68.2191,-135.0107,-16.6,76,0,3.44,clear sky
201,Kalmunai,LK,7.4167,81.8167,78.06,81,52,7.27,broken clouds
202,Ponta Do Sol,PT,32.6667,-17.1,67.71,63,17,9.42,few clouds
203,Delta,NG,5.5,6.0,100.71,12,56,4.94,broken clouds
204,Cayenne,GF,4.9333,-52.3333,82.44,65,100,8.05,overcast clouds
205,Teguise,ES,29.0605,-13.564,62.82,63,40,14.97,scattered clouds
206,Labuhan,ID,-6.8844,112.2051,78.71,86,100,6.96,light rain
207,Balod,IN,20.73,81.2047,58.44,37,12,3.24,few clouds
208,Kinston,US,35.2627,-77.5816,40.6,64,0,3.44,clear sky
209,Motygino,RU,58.1831,94.7592,-9.0,100,92,2.84,overcast clouds
210,Kongolo,CD,-5.3833,27.0,79.56,87,64,1.23,moderate rain
211,Kalevala,RU,65.2,31.1667,2.57,99,93,2.91,overcast clouds
212,Lompoc,US,34.6391,-120.4579,57.13,73,0,9.22,clear sky
213,Trairi,BR,-3.2778,-39.2689,75.92,89,97,6.76,light rain
214,Aswan,EG,24.0934,32.907,60.75,25,46,13.24,scattered clouds
215,Sabaudia,IT,41.3003,13.0282,59.04,67,94,15.17,overcast clouds
216,Cherskiy,RU,68.75,161.3,-22.29,95,89,1.3,overcast clouds
217,Portoferraio,IT,42.8115,10.3146,60.1,76,75,9.22,broken clouds
218,Palmer,US,42.1584,-72.3287,32.72,52,100,4.61,overcast clouds
219,Gornyye Klyuchi,RU,45.25,133.5,4.19,91,100,7.76,overcast clouds
220,Honningsvag,NO,70.9821,25.9704,26.35,63,75,6.91,broken clouds
221,Eureka,US,40.8021,-124.1637,36.79,59,79,5.77,broken clouds
222,Broome,US,42.2506,-75.833,28.45,78,100,3.0,light snow
223,Bambous Virieux,MU,-20.3428,57.7575,80.85,74,75,4.61,broken clouds
224,Henties Bay,NA,-22.116,14.2845,67.86,77,47,15.82,scattered clouds
225,San Carlos,VE,9.6612,-68.5827,89.71,37,65,2.46,broken clouds
226,Tyup,KG,42.7276,78.3648,13.89,70,94,4.05,overcast clouds
227,Deputatskiy,RU,69.3,139.9,-27.56,91,66,3.8,broken clouds
228,Nakusp,CA,50.2499,-117.8023,23.34,80,100,3.44,overcast clouds
229,Korla,CN,41.7597,86.1469,24.73,56,0,1.34,clear sky
230,Matadi,CD,-5.8167,13.45,89.04,57,100,3.91,overcast clouds
231,Tuatapere,NZ,-46.1333,167.6833,49.82,89,100,3.24,overcast clouds
232,Sioux Lookout,CA,50.1001,-91.917,-5.42,77,100,3.44,overcast clouds
233,Huambo,AO,-12.7761,15.7392,75.0,64,75,5.75,broken clouds
234,Inirida,CO,3.8653,-67.9239,88.65,52,91,3.42,overcast clouds
235,Akyab,MM,20.15,92.9,69.04,54,31,16.91,scattered clouds
236,Raudeberg,NO,61.9875,5.1352,39.2,92,100,8.01,light rain
237,Eraniel,IN,8.2,77.3,83.55,71,41,9.71,scattered clouds
238,Dingle,PH,10.9995,122.6711,76.48,88,88,5.37,overcast clouds
239,Nouadhibou,MR,20.931,-17.0347,71.58,43,100,18.41,overcast clouds
240,Te Anau,NZ,-45.4167,167.7167,48.85,93,79,1.92,broken clouds
241,Lasa,IT,46.6166,10.7002,48.11,78,14,8.39,few clouds
242,Severo-Kurilsk,RU,50.6789,156.125,23.07,73,100,34.74,overcast clouds
243,Durusu,TR,41.3053,28.6767,46.38,76,65,8.01,broken clouds
244,Constitucion,CL,-35.3333,-72.4167,67.24,69,67,8.66,broken clouds
245,Registro,BR,-24.4875,-47.8436,71.53,96,100,3.36,overcast clouds
246,Qasigiannguit,GL,68.8193,-51.1922,16.05,68,100,10.09,overcast clouds
247,Naryan-Mar,RU,67.6713,53.087,9.39,93,100,8.93,overcast clouds
248,Itambe,BR,-15.245,-40.6244,84.7,55,63,3.91,broken clouds
249,Konyshevka,RU,51.8418,35.2941,28.27,96,99,10.83,light snow
250,Northam,GB,51.0333,-4.2167,50.72,97,100,14.12,overcast clouds
251,Port Moresby,PG,-9.4431,147.1797,76.42,100,20,5.75,few clouds
252,Sistranda,NO,63.7256,8.834,38.89,83,100,34.72,overcast clouds
253,Pangnirtung,CA,66.1451,-65.7125,-11.2,64,75,4.61,broken clouds
254,Lebu,CL,-37.6167,-73.65,65.46,78,29,7.34,scattered clouds
255,Kaduqli,SD,11.0167,29.7167,83.03,10,70,12.01,broken clouds
256,Guerrero Negro,MX,27.9769,-114.0611,59.0,43,36,2.51,scattered clouds
257,Rawlins,US,41.7911,-107.2387,25.02,45,0,3.44,clear sky
258,Okhotsk,RU,59.3833,143.3,7.75,77,100,19.26,overcast clouds
259,Bani,DO,18.2833,-70.3333,83.64,56,2,6.58,clear sky
260,Amberley,US,39.2048,-84.428,30.43,89,100,1.01,mist
261,Pitimbu,BR,-7.4706,-34.8086,86.59,62,38,9.37,scattered clouds
262,Lagoa,PT,39.05,-27.9833,57.9,63,81,15.86,broken clouds
